S No,Product Name,Category,Available Sizes,Description,Ingredients,Nutritional Information,Country of Origin,Storage Instructions,Benefits,Manufacturer Details,Pack Size,FSSAI Number,SKU Code
46,Kadumango pickle,Pickle,400 g,Pavithram Kadukamango Pickle is made from selected mangoes and mustard-based spices to deliver a traditional Kerala flavour. Ideal for everyday meals.,"Mango Pieces (50.0%), Vegetable Oil (13.0%), Salt (12.0%), Synthetic Vinegar (8.0%) , Chilli Powder (6.0%), Green Chilli (3.0%), Ginger (2.5%), Mustard Seeds (2.0%), Asafoetida (2.0%) , Fenugreek (1.0%), Turmeric Powder (0.3%), and Sodium Benzoate (0.2%)","Energy:102 kcal, Total Fat:2g, Saturated fat : 0.47g,Trans fat: 0mg  Carbohydrates: 20g, Protein: 0.91g, Cholesterol: 0mg ,sodium:999mg,Dietary fiber :0.50g ,Total sugars:.0.50g,Added sugars:0(per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Traditional Kerala flavour • Rich and flavourful taste • Complements rice dishes • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
47,Puliyinchi,Pickle,400 g,"Pavithram Puliyinchi is a traditional blend of ginger, tamarind, and spices prepared for a rich and authentic taste. Perfect as an accompaniment to festive and regular meals","Tamarind (35.0%), Ginger (20.0%), Jaggery (15.0%), Vegetable Oil (10.0%), Salt (7.0%), Green Chilli (4.0%), Chilli Powder (3.5%), Garlic (3.0%), Mustard Seeds (1.0%), Fenugreek (0.8%), Curry Leaves (0.4%), Turmeric Powder (0.1%), and Sodium Benzoate (0.2%)","Energy:101 kcal, Total Fat:3.5g, Saturated fat : 1.5g,Trans fat: 0mg  Carbohydrates: 14g, Protein: 1 g, Cholesterol: 0mg ,sodium:1150 mg,Dietary fiber :1.5g ,Total sugars:.9 g,Added sugars:7 g (per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Traditional ginger preparation • Sweet and tangy taste • Rich flavour profile • Ideal with festive meals • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
48,Mixed Vegetable pickle,Pickle,"400 g, 5 Kg",Pavithram Mixed Vegetable Pickle is made from a blend of carefully selected vegetables and traditional spices. Ideal for adding flavour to any meal.,"Mixed Vegetables (50.0%), Vegetable Oil (12.0%), Salt (11.0%), Synthetic Vinegar (9.0%) , Red Chilli Powder (6.0%), Green Chilli (4.0%), Mustard Seeds (3.0%), Asafoetida (2.5%) , Fenugreek (1.5%), Turmeric (0.8%), and Sodium Benzoate (0.2%).","Energy:91 kcal, Total Fat:7g, Saturated fat : 1g,Trans fat: 0mg  Carbohydrates: 6g, Protein: 1g, Cholesterol: 0mg ,sodium:1200mg,Dietary fiber :2g ,Total sugars:.1g,Added sugars:1g(per serving)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Made from selected vegetables • Rich blend of flavours • Traditional recipe • Complements everyday meals • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
49,Lemon pickle,Pickle, 5 kg,Pavithram Lemon Pickle is prepared from carefully selected lemons and traditional spices for a tangy and flavourful experience. Ideal with rice and curries.,"Lemon (45.0%), Vegetable Oil (15.0%), Salt (12.0%), Synthetic Vinegar (8.0%) , Chilli Powder (5.0%), Sugar (4.0%), Ginger (3.5%), Garlic (3.0%), Mustard Seeds (2.0%), Asafoetida (1.2%) , Fenugreek (1.0%), Turmeric (0.1%), and Sodium Benzoate (0.2%)",,India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Tangy and flavourful taste • Traditional recipe • Enhances meal experience.,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
50,Mango pickle,Pickle,"400 g, 5 kg",Pavithram Mango Pickle is made from handpicked raw mangoes and aromatic spices to deliver authentic taste and texture. A favourite accompaniment for traditional meals.,"Mango Pieces (52.0%), Vegetable Oil (15.0%), Salt (12.0%), Synthetic Vinegar (8.0%) , Chilli Powder (6.0%), Mustard Seeds (3.5%), Fenugreek (2.0%), Asafoetida (1.3%) , and Sodium Benzoate (0.2%)",,India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Authentic traditional taste • Rich in flavour • Complements everyday meals • Ready to serve,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
51,Stawberry Jam,Jam,340 g,"Pavithram Strawberry Jam is made from quality strawberries to deliver a delicious fruity flavour and smooth texture. Perfect for bread, sandwiches, and desserts.","Sugar, Strawberry Pulp, Pectin (E440), Citric Acid (E330), Synthetic Food Colour - Sunset Yellow (E110), Carmoisin (E122)","Energy: 606 kcal, Total Fat:  0.1g,  Carbohydrates: 57g, Protein: 2g, sugars 12g,sodium 6 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Made from quality strawberries • Smooth and fruity taste • Easy to spread • Ideal for breakfast • Perfect for desserts,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
52,Mixed Fruit jam,Jam,340 g,"Pavithram Mixed Fruit Jam is prepared from a blend of selected fruits for a rich and delightful taste. Ideal for spreading, baking, and desserts.","Sugar, Pineapple pulp, Mango pulp, Strawberry pulp, Orange pulp, Pectin, Citric acid, Synthetic food colour (E 122), Added flavour, Class II preservative E 211.","Energy: 285 kcal, Total Fat:  0.1g,  Carbohydrates: 70  g, Protein: 2g, sugars : 13.8 g, sodium 3.2 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Made from selected fruits • Rich fruity flavour • Smooth texture • Easy to spread • Ideal for breakfast,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
53,Pinapple Jam,Jam,340 g,Pavithram Pineapple Jam is crafted from quality pineapples to provide a sweet and refreshing fruit flavour. Perfect for breakfast and snack preparations.,"Sugar, Pineapple pulp, Pectin (440), Acidity Regulator (330), Synthetic food colour (E102), Added flavour, Class II Preservative E211.","Energy: 309 kcal, Total Fat:  0.1g,  Carbohydrates: 77  g, Protein: 2g, sugars 70 g,sodium 1 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.After opening keep the container closed.",• Made from quality pineapples • Sweet and refreshing taste • Smooth texture • Easy to spread • Perfect for breakfast and snacks,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
54,Kambu Pearl Millets,Millet,500 g,Pavithram Kambu (Pearl Millet) is sourced from carefully selected grains and processed under strict quality standards to retain its natural goodness. ,Kambu pearl millet,"Energy: 170 kcal, Total Fat:2 g, Saturated fat : 0.4g,Trans fat: 0 mg  Carbohydrates: 32g, Protein: 5g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :4 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in fibre • Source of essential nutrients • Supports a balanced diet • Versatile for various recipes • Suitable for everyday consumption,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
55,Samai Little Millet,Millet,500 g,Pavithram Samai (Little Millet) is made from premium-quality grains and carefully processed for freshness and consistency. Ideal for preparing wholesome traditional dishes.,Samai little millet,"Energy: 160 kcal, Total Fat:2 g, Saturated fat : 0.3g,Trans fat: 0 mg  Carbohydrates: 31g, Protein: 4g, Cholesterol: 0mg ,sodium: 0 mg ,Dietary fiber :3 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in fibre • Contains essential nutrients • Easy to include in daily meals • Supports a balanced lifestyle • Suitable for traditional recipes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
56,Varagu Kodu Millet,Millet,500 g,Pavithram Varagu (Kodo Millet) is sourced from selected grains and processed to maintain its natural quality and taste. Suitable for a variety of everyday and traditional recipes.,Varagu Kodu Millet,"Energy: 160 kcal, Total Fat:1.5 g, Saturated fat : 0.3g,Trans fat:0 g, Carbohydrates: 32g, Protein: 4g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :4 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in fibre • Contains essential nutrients • Supports wholesome eating • Versatile for various dishes • Suitable for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
57,Foxtail Millet,Millet,500 g,Pavithram Foxtail Millet is made from carefully selected grains and processed under quality standards for purity and freshness. Ideal for preparing a range of wholesome dishes.,Foxtail millet,"Energy: 165 kcal, Total Fat:2 g, Saturated fat : 0.4g,Trans fat:0 g, Carbohydrates: 31g, Protein: 5g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :4 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in fibre • Source of essential nutrients • Supports a balanced diet • Easy to incorporate into meals • Suitable for daily consumption,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
58,Sorghum Millet,Millet,500 g,Pavithram Sorghum Millet is sourced from quality grains and processed to ensure consistency and freshness. Suitable for traditional recipes and everyday cooking.,Sorgham millet,"Energy: 170 kcal, Total Fat:1.5 g, Saturated fat : 0.3g,Trans fat:0 g, Carbohydrates: 34 g, Protein: 5g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :3 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in fibre • Contains essential nutrients • Supports wholesome nutrition • Versatile for traditional recipes • Suitable for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
59,Barnyard Millet,Millet,500 g,Pavithram Barnyard Millet is carefully selected and processed to retain its natural characteristics and quality. Ideal for preparing a variety of wholesome meals.,Barnyard Millet,"Energy: 160 kcal, Total Fat:1.5 g, Saturated fat : 0.3g,Trans fat:0 g, Carbohydrates: 31g, Protein: 5g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :5 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in fibre • Source of essential nutrients • Supports a balanced lifestyle • Easy to prepare • Suitable for various dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
60,Proso Millet,Millet,500 g,Pavithram Proso Millet is made from premium-quality grains and processed for consistent quality and freshness. Suitable for traditional and modern recipes .,Proso Millet,"Energy: 165 kcal, Total Fat:1.5 g, Saturated fat : 0.3g,Trans fat:0 g, Carbohydrates: 32 g, Protein: 5g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :3 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in fibre • Contains essential nutrients • Supports wholesome eating • Versatile ingredient • Suitable for daily consumption,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
61,Ragi Millet,Millet,500 g,Pavithram Ragi Millet is sourced from carefully selected finger millet grains and processed under strict quality standards. Ideal for preparing a variety of traditional and nutritious dishes.,Ragi Millet,"Energy: 150 kcal, Total Fat:1 g, Saturated fat : 0.2g,Trans fat:0 g, Carbohydrates: 32 g, Protein: 3g, Cholesterol: 0mg ,sodium: 5 mg ,Dietary fiber :4 g Total sugar :1g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Naturally rich in calcium and fibre • Source of essential nutrients • Supports a balanced diet • Versatile for various recipes • Suitable for everyday consumption,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
62,Madras Pappdam ,Appalam,100 g,Pavithram Madras Pappadam is made from carefully selected ingredients and processed under strict quality standards to deliver a crisp texture and authentic taste. Ideal as a traditional accompaniment to meals.,"Urad dal flour,Iodised salt,Sodium Bi-carbonate INS 500(!!),Compound asafoetida,Rice Flour.","Energy: 326 KJ, Total Fat: 2g,Saturated fat :0 g  Carbohydrates: 58g, Protein: 21g, Sodium : 1485 mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Crispy and flavourful • Made from quality ingredients • Traditional recipe • Easy to prepare • Ideal with everyday meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
63,Pappadam,Appalam,"100 g , 200 g","Pavithram Pappadam is prepared using selected ingredients to provide a light, crispy texture and authentic taste. Perfect as a side dish for traditional meals.","URAD DAL FLOUR,RICE FLOUR,SALT,BAKING POWDER,ASAFOETIDA,VEGETABLE OIL","Energy: 326 KJ, Total Fat: 2g,Saturated fat :0.1g  Carbohydrates: 0g, Protein: 4g, Sodium : 0 g (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Crispy texture • Traditional taste • Made from quality ingredients • Easy to prepare • Ideal for every meals.,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
64,Cumin pappad,Appalam,100 g,Pavithram Cumin Pappadam is made from quality ingredients and flavoured with cumin to deliver a distinctive taste and aroma. A perfect accompaniment to everyday meals.,"Urad Dal Flour, Rice Flour, Salt, Baking Powder, Cumin, Asafoetida, Vegetable Oil",,India,"Store in a cool, dry place away from direct sunlight.",• Flavoured with cumin • Crispy and tasty • Rich aroma • Easy to prepare • Ideal with traditional dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
65,Pepper pappad,Appalam,100 g,Pavithram Pepper Pappadam is crafted using selected ingredients and pepper for a bold and flavourful taste. Perfect for enhancing everyday meals.,"Urad Dal Flour, Rice Flour, Salt, Baking Powder, Pepper, Asafoetida, Vegetable Oil",,India,"Store in a cool, dry place away from direct sunlight.",• Flavoured with pepper • Crispy texture • Rich and flavourful taste • Easy to prepare • Ideal with rice dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
66,Chilly pappad,Appalam,100 g,Pavithram Chilly Pappadam is prepared with quality ingredients and chilli for a spicy and delicious flavour. Ideal as a crunchy accompaniment to meals.,"URAD DAL FLOUR,RICE FLOUR,SALT,BAKING POWDER,ASAFOETIDA,VEGETABLE OIL,CHILLI POWDER.",,India,"Store in a cool, dry place away from direct sunlight.",• Spicy and flavourful • Crispy texture • Made from quality ingredients • Easy to prepare • Ideal with traditional meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
67,Rice Pappad,Appalam,100 g,Pavithram Rice Pappad is made from selected rice and processed to achieve a light and crispy texture. Perfect for serving alongside a variety of dishes.,"RICE POWDER,SAGO POWDER,VEGETABLE OIL,SALT,CUMIN SEED","Energy: 35 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 8g, Protein: 1g, Cholesterol: 0mg ,sodium: 120 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from selected rice • Light and crispy • Traditional recipe • Easy to prepare • Suitable for everyday meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
68,Kappa Pappad,Appalam,100 g,Pavithram Kappa Pappad is prepared from quality tapioca and processed for a unique taste and crisp texture. Ideal for traditional Kerala-style meals.,"TAPIOCA POWDER,RICE POWDER,RED CHILLI,CUMIN SEED,SESAME SEED ,ASAFOETIDA,SALT","Energy: 35 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 9g, Protein: 0g, Cholesterol: 0mg ,sodium: 110 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from quality tapioca • Crispy texture • Unique traditional taste • Easy to prepare • Ideal with Kerala dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
69,Spicy Rice Pappad,Appalam,100 g,Pavithram Spicy Rice Pappad is made from selected rice and blended with spices for a flavourful crunch. Perfect as a snack or meal accompaniment.,"RICE POWDER,SAGO POWDER,VEGETABLE OIL,SESAME SEED ,CHILLY POWDER, CUMIN SEED,CHILLI FLAKES","Energy: 35 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 8g, Protein: 1g, Cholesterol: 0mg ,sodium: 140 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Made from selected rice • Spicy and flavourful • Crispy texture • Easy to prepare • Ideal with meals and snacks,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
70,Rice Vadagam Stick,Vadagam,100 g,Pavithram Rice Vadagam Stick is prepared using premium-quality rice and processed to deliver a crispy texture and authentic taste. Ideal as a traditional snack or meal accompaniment.,"Rice Flour, Salt ,Cumin ,Green chilly","Energy: 10 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 2g, Protein: 0g, Cholesterol: 0mg ,sodium: 20 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Crispy texture • Traditional taste • Light and crunchy • Easy to prepare • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
71,Rice Vadagam Murukku,Vadagam,100 g,Pavithram Rice Vadagam Murukku is crafted from quality rice ingredients to provide a delightful crunch and traditional flavour. Perfect for everyday meals and snacks.,"Rice Flour, Salt ,Cumin ,Green chilly","Energy: 10 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 2g, Protein: 0g, Cholesterol: 0mg ,sodium: 20 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Crispy and flavourful • Traditional recipe • Delightful crunch • Easy to prepare • Ideal for snacks and meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
72,Sago Vadagam,Vadagam,100 g,Pavithram Sago Vadagam is produced from selected sago and processed under strict quality standards to ensure excellent taste and texture. Ideal for traditional meal preparations.,"Rice Flour,Sago , Salt ,Cumin,Asafoetida, Green chilly","Energy: 10 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 2.5g, Protein: 0g, Cholesterol: 0mg ,sodium: 15 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Light and crispy texture • Authentic traditional taste • Made with quality ingredients • Easy to prepare • Ideal with everyday meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
73,Tomato Vadagam,Vadagam,100 g,Pavithram Tomato Vadagam is prepared using quality ingredients and tomato to deliver a rich and distinctive flavour. Perfect as a crispy accompaniment to meals.,"Rice Flour, Tomato, Red chilly, Salt","Energy: 10 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 2g, Protein: 0g, Cholesterol: 0mg ,sodium: 20 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Rich tomato flavour • Crispy texture • Traditional preparation • Easy to prepare • Ideal with rice dishes,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
74,Omam Vadam,Vadagam,100 g,Pavithram Omam Vadam is crafted from selected ingredients and omam (ajwain) to provide a unique flavour and crisp texture. Suitable for traditional meal occasions.,"Rice Flour, Cumin Seeds,Asafoetida, Salt","Energy: 10 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 2g, Protein: 0g, Cholesterol: 0mg ,sodium: 20 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Flavoured with omam • Crispy and tasty • Traditional recipe • Easy to prepare • Ideal with everyday meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
75,Garlic Vadam,Vadagam,100 g,Pavithram Garlic Vadam is prepared using quality ingredients and garlic to deliver a rich and savoury flavour. Perfect as a crunchy accompaniment to traditional dishes.,"Rice Flour, Garlic, Red Chilli, Salt","Energy: 10 kcal, Total Fat:0g, Saturated fat : 0g,Trans fat:0 g, Carbohydrates: 2g, Protein: 0g, Cholesterol: 0mg ,sodium: 20 mg ,Dietary fiber :0g Total sugar :0g (per serving)",India,"Store in a cool, dry place away from direct sunlight.",• Rich garlic flavour • Crispy texture • Traditional taste • Easy to prepare • Ideal with rice dishes and meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
76,Urad Ghotta,Pulse,1 kg,Pavithram Urad Ghotta is processed from premium-quality whole urad beans to ensure freshness and consistency. Suitable for a variety of traditional recipes and everyday cooking.,Urad Ghotta,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in plant-based protein • Source of dietary fibre • Versatile ingredient • Suitable for traditional recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
77,Urad Split,Pulse,1kg,Pavithram Urad Split is prepared from quality urad beans and processed under strict quality standards. Ideal for preparing a range of traditional dishes.,Urad Split,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in plant-based protein • Source of dietary fibre • Easy to cook • Suitable for various recipes • Ideal for daily use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
78,Toor Dhal,Pulse,1 kg,Pavithram Toor Dal is sourced from quality pigeon peas and processed to maintain freshness and purity. Perfect for preparing flavourful dals and curries.,Toor Dhal,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Rich in natural goodness • Easy to digest • Suitable for everyday meals • Versatile ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
79,Green Moong ,Pulse,1 kg,Pavithram Green Moong is prepared from carefully sourced whole green gram and processed for quality and freshness. Ideal for traditional and wholesome recipes.,Green Moong ,,India,"Store in a cool, dry place away from direct sunlight.",• Naturally nutritious • Source of protein • Rich in dietary fibre • Suitable for various dishes • Ideal for balanced meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
80,Black Channa (nadan kadala),Pulse,500 g,Pavithram Black Channa is sourced from premium-quality chickpeas and processed under quality standards. Suitable for traditional Kerala dishes and everyday cooking.,Black Channa (nadan kadala),,India,"Store in a cool, dry place away from direct sunlight.",• Rich in natural goodness • Source of dietary fibre • Supports wholesome meals • Suitable for traditional recipes • Ideal for daily consumption,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
81,Chick Peas,Pulse,500 g,"Pavithram Chick Peas are carefully processed to ensure quality and consistency. Ideal for curries, salads, and a variety of recipes.",Chick Peas,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Rich in dietary fibre • Naturally nutritious • Versatile ingredient • Suitable for balanced meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
82,Urad Ghotta,Pulse,500 g,"Pavithram Green Peas are selected for quality and freshness to deliver great taste and texture. Suitable for curries, snacks, and everyday cooking.",Urad Ghotta,,India,"Store in a cool, dry place away from direct sunlight.",• Naturally nutritious • Source of essential nutrients • Rich in dietary fibre • Versatile ingredient • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
83,Urad Split,Pulse,500 g,"Pavithram Red Masoor Dal is processed from quality lentils to ensure freshness and purity. Ideal for preparing soups, dals, and traditional dishes.",Urad Split,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Rich in dietary fibre • Quick and easy to cook • Suitable for various recipes • Ideal for daily meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
84,Red Kidney beans (Rajma),Pulse,500 g,Pavithram Rajma is sourced from quality kidney beans and processed under strict quality standards. Perfect for traditional and contemporary recipes.,Red Kidney beans (Rajma),,India,"Store in a cool, dry place away from direct sunlight.",• Rich in natural goodness • Source of protein • Supports wholesome meals • Suitable for traditional dishes • Versatile ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
85,Horse Gram,Pulse,500 g,Pavithram Horse Gram is processed from premium-quality grains to retain freshness and natural goodness. Ideal for traditional recipes and everyday cooking.,Horse Gram,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in dietary fibre • Source of essential nutrients • Naturally nutritious • Suitable for traditional recipes • Ideal for balanced meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
86,Mustard Seed,Pulse,100 g,"Pavithram Mustard Seeds are carefully processed to deliver freshness, aroma, and authentic flavour. Ideal for seasoning and tempering dishes.",Mustard Seed,,India,"Store in a cool, dry place away from direct sunlight.",• Rich aroma and flavour • Essential seasoning ingredient • Enhances taste • Suitable for various cuisines • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
87,Fennel,Pulse,100 g,Pavithram Fennel Seeds are selected for quality and freshness to provide a pleasant aroma and flavour. Suitable for cooking and spice blends.,Fennel,,India,"Store in a cool, dry place away from direct sunlight.",• Rich aroma and flavour • Enhances taste naturally • Versatile spice ingredient • Suitable for various recipes • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
88,Fenugreek,Pulse,100 g,Pavithram Fenugreek Seeds are processed under quality standards to ensure freshness and purity. Ideal for seasoning and traditional recipes.,Fenugreek,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in natural goodness • Distinctive flavour • Traditional kitchen essential • Suitable for seasoning • Versatile ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
89,Sago ,Pulse,500 g,"Pavithram Sago is processed from quality ingredients to deliver consistency and freshness. Suitable for desserts, snacks, and traditional recipes.",Sago ,,India,"Store in a cool, dry place away from direct sunlight.",• Light and versatile ingredient • Easy to prepare • Suitable for various recipes • Consistent quality • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
90,Soya  Big,Pulse,500 g,Pavithram Soya Big is made from quality soy protein and processed for excellent texture and consistency. Suitable for a variety of dishes.,Soya  Big,,India,"Store in a cool, dry place away from direct sunlight.",•Rich source of protein • Versatile ingredient • Easy to prepare • Suitable for various dishes • Ideal for wholesome meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
91,Soya medium,Pulse,1 kg,"Pavithram Soya Medium is processed from quality soy protein to ensure consistency and taste. Perfect for curries, gravies, and everyday cooking.",Soya medium,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Easy to prepare • Versatile ingredient • Suitable for daily cooking • Ideal for balanced meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
92,Black Sesame Seed,Pulse,100 g,Pavithram Black Sesame Seeds are sourced from quality seeds and processed to maintain freshness and flavour. Suitable for traditional recipes and garnishing.,Black Sesame Seed,,India,"Store in a cool, dry place away from direct sunlight.",• Rich in natural goodness • Source of essential nutrients • Distinctive flavour • Suitable for various recipes • Ideal for everyday use,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
93,Green Moong Dal Split Yellow,Pulse,500 g,Pavithram Green Moong Dal Split Yellow is processed from quality green gram to ensure freshness and consistency. Suitable for a variety of traditional recipes.,Green Moong Dal Split Yellow,,India,"Store in a cool, dry place away from direct sunlight.",• Source of protein • Rich in dietary fibre • Easy to cook • Suitable for various dishes • Ideal for wholesome meals,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
94,Yellow Masoor Dal ,Pulse,500 g,"Pavithram Yellow Masoor Dal is prepared from premium-quality lentils and processed under strict quality standards. Perfect for soups, dals, and everyday cooking.",Yellow Masoor Dal ,,India,"Store in a cool, dry place away from direct sunlight.",• Naturally nutritious • Rich in dietary fibre • Quick cooking ingredient • Suitable for daily meals • Versatile ingredient,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
95,Tamarind,Tamarind,"100 g ,200 g,500 g,1 kg,2 kg","Pavithram Tamarind is sourced from quality tamarind and processed under strict quality standards to retain its natural flavour and freshness. Ideal for preparing a variety of traditional dishes, curries, and chutneys.","TAMARIND ,SODIUM CHLORIDE","Energy: 327 kcal, Total Fat: 1 g,  Carbohydrates: 0g, Protein: 4g, Cholesterol: 0mg (per 100g)",India,"Store in a cool, dry place away from direct sunlight.",• Rich and tangy flavour • Essential cooking ingredient • Enhances taste naturally • Suitable for various recipes • Ideal for everyday cooking,"Pavithram Foods Pvt. Ltd., Kerala, India ",,,
